,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_random_state,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_alpha,param_loss,param_criterion,param_max_depth,param_splitter,param_n_estimators,param_algorithm,param_kernel,param_activation,param_hidden_layer_sizes,param_p,param_booster
1,0.027432870864868165,0.00328263143093367,0.0007998943328857422,0.00040006822283276353,,l2,1453,,"{'alpha': 0.0001, 'loss': 'hinge', 'penalty': 'l2', 'random_state': 1453}",0.9629310344827586,0.9879206212251941,0.9706643658326143,0.9827437446074202,0.9775668679896462,0.9763653268275266,0.008816279376540866,8,0.0001,hinge,,,,,,,,,,
2,0.36579022407531736,0.16861019265571695,0.0004004001617431641,0.0004904425738643965,,l1,42,,"{'alpha': 0.0001, 'loss': 'hinge', 'penalty': 'l1', 'random_state': 42}",0.9732758620689655,0.9767040552200172,0.9732528041415013,0.9775668679896462,0.9827437446074202,0.9767086668055102,0.0034895796229922667,7,0.0001,hinge,,,,,,,,,,
3,0.4939277648925781,0.045148033605985224,0.00045900344848632814,0.0005624729845484789,,l1,1453,,"{'alpha': 0.0001, 'loss': 'hinge', 'penalty': 'l1', 'random_state': 1453}",0.946551724137931,0.9836065573770492,0.9775668679896462,0.9767040552200172,0.9810181190681622,0.9730894647585611,0.013496939486065975,13,0.0001,hinge,,,,,,,,,,
4,0.0213010311126709,0.0037046530898041607,0.0008036136627197265,0.0004018719692564455,,l2,42,,"{'alpha': 0.0001, 'loss': 'perceptron', 'penalty': 'l2', 'random_state': 42}",0.978448275862069,0.9887834339948232,0.9810181190681622,0.9861949956859362,0.9689387402933564,0.9806767129808694,0.006914229711729408,1,0.0001,perceptron,,,,,,,,,,
5,0.027214717864990235,0.00400121553864778,0.0007989883422851562,0.00039950034641493445,,l2,1453,,"{'alpha': 0.0001, 'loss': 'perceptron', 'penalty': 'l2', 'random_state': 1453}",0.9629310344827586,0.9870578084555651,0.9836065573770492,0.9792924935289042,0.9767040552200172,0.977918389812859,0.008292982728565865,5,0.0001,perceptron,,,,,,,,,,
6,0.3720247745513916,0.14072834639887657,0.0008955001831054688,0.00047765092552607254,,l1,42,,"{'alpha': 0.0001, 'loss': 'perceptron', 'penalty': 'l1', 'random_state': 42}",0.9706896551724138,0.9792924935289042,0.9732528041415013,0.9715271786022434,0.9775668679896462,0.9744657998869417,0.0033846629826134443,11,0.0001,perceptron,,,,,,,,,,
7,0.478701114654541,0.09456941132628398,0.0008082389831542969,0.00040423623652088104,,l1,1453,,"{'alpha': 0.0001, 'loss': 'perceptron', 'penalty': 'l1', 'random_state': 1453}",0.9474137931034483,0.9836065573770492,0.9784296807592753,0.9741156169111302,0.9818809318377912,0.9730893159977387,0.0132416776924683,14,0.0001,perceptron,,,,,,,,,,
8,0.01875958442687988,0.0006527765480240554,0.0007084369659423828,0.00044838148354038387,,l2,42,,"{'alpha': 0.001, 'loss': 'hinge', 'penalty': 'l2', 'random_state': 42}",0.978448275862069,0.9784296807592753,0.9775668679896462,0.9844693701466781,0.9801553062985332,0.9798139002112404,0.0024746759624377584,3,0.001,hinge,,,,,,,,,,
9,0.023131895065307616,0.0023907681742884775,0.0010027885437011719,8.042873284069538e-06,,l2,1453,,"{'alpha': 0.001, 'loss': 'hinge', 'penalty': 'l2', 'random_state': 1453}",0.9612068965517241,0.9810181190681622,0.9706643658326143,0.9879206212251941,0.9784296807592753,0.9758479366873939,0.009169246024762951,10,0.001,hinge,,,,,,,,,,
10,0.6302953720092773,0.5444889941348122,0.001014566421508789,9.918442136609397e-06,,l1,42,,"{'alpha': 0.001, 'loss': 'hinge', 'penalty': 'l1', 'random_state': 42}",0.9612068965517241,0.9542709232096636,0.9628990509059534,0.9603106125970664,0.9680759275237274,0.9613526821576268,0.004446386325266547,17,0.001,hinge,,,,,,,,,,
11,0.8052359580993652,0.2941855362846747,0.000608062744140625,0.0004965391806726145,,l1,1453,,"{'alpha': 0.001, 'loss': 'hinge', 'penalty': 'l1', 'random_state': 1453}",0.9379310344827586,0.9663503019844694,0.9637618636755824,0.9620362381363244,0.9594477998274374,0.9579054476213145,0.010237505897941401,18,0.001,hinge,,,,,,,,,,
12,0.0182523250579834,0.0019440313127645579,0.0010670185089111327,0.00012484964582845618,,l2,42,,"{'alpha': 0.001, 'loss': 'perceptron', 'penalty': 'l2', 'random_state': 42}",0.975,0.9801553062985332,0.9741156169111302,0.9827437446074202,0.9680759275237274,0.976018119068162,0.005100683179661775,9,0.001,perceptron,,,,,,,,,,
13,0.019512462615966796,0.0013978208420139795,0.0009587764739990235,7.358952333849617e-05,,l2,1453,,"{'alpha': 0.001, 'loss': 'perceptron', 'penalty': 'l2', 'random_state': 1453}",0.9508620689655173,0.9767040552200172,0.9827437446074202,0.9818809318377912,0.9732528041415013,0.9730887209544494,0.011641684394775031,15,0.001,perceptron,,,,,,,,,,
14,1.1111384868621825,0.9836423918094469,0.001007413864135742,7.44171568866707e-06,,l1,42,,"{'alpha': 0.001, 'loss': 'perceptron', 'penalty': 'l1', 'random_state': 42}",0.9594827586206897,0.9551337359792925,0.9594477998274374,0.9370146678170836,0.9680759275237274,0.9558309779536461,0.010304323034599277,20,0.001,perceptron,,,,,,,,,,
15,0.7588539600372315,0.23348347392142507,0.0006077766418457031,0.0004962973141746005,,l1,1453,,"{'alpha': 0.001, 'loss': 'perceptron', 'penalty': 'l1', 'random_state': 1453}",0.9379310344827586,0.9672131147540983,0.9568593615185504,0.9637618636755824,0.9594477998274374,0.9570426348516854,0.010194688556008549,19,0.001,perceptron,,,,,,,,,,
16,0.018322229385375977,0.002208230063507255,0.0008001327514648438,0.0004000664041494148,,l2,42,,"{'alpha': 0.01, 'loss': 'hinge', 'penalty': 'l2', 'random_state': 42}",0.968103448275862,0.9827437446074202,0.9801553062985332,0.9853321829163072,0.9801553062985332,0.9792979976793312,0.005917304383761272,4,0.01,hinge,,,,,,,,,,
17,0.018451786041259764,0.0022179235084291535,0.0007999420166015625,0.0003999710083007812,,l2,1453,,"{'alpha': 0.01, 'loss': 'hinge', 'penalty': 'l2', 'random_state': 1453}",0.9594827586206897,0.9818809318377912,0.9801553062985332,0.9827437446074202,0.9801553062985332,0.9768836095325936,0.008757990925230127,6,0.01,hinge,,,,,,,,,,
